nm_municipio;IDHM;Mortalidade Infantil; PIB per capita ;Esgotamento sanitario por rede geral, rede pluvial ou fossa ligada A rede;Populacao estimada;Total de receitas brutas realizadas
Alta Floresta D'Oeste;0,641;10,44 ; 32619,88 ;0,47%;22853 ;147825150,34 
Alto Alegre dos Parecis;0,592;11,76 ; 36454,01 ;0,55%;12263 ;103044581,42 
Alto Paraíso;0,625;23,15 ; 22929,34 ;0,1%;17463 ;111887216,06 
Alvorada D'Oeste;0,643;10,05 ; 25539,82 ;42,28%;13837 ;94428402,2 
Ariquemes;0,702;12,54 ; 28878,27 ;2,12%;108573 ;556381049,28 
Buritis;0,616;10,06 ; 23549,74 ;0,42%;30729 ;171101998,52 
Cabixi;0,65;-; 47051,83 ;1,38%;5690 ;56844020,67 
Cacaulândia;0,646;-; 43655,88 ;34,04%;4345 ;58288209,1 
Cacoal;0,718;8,94 ; 32313,26 ;65,45%;97637 ;500279357,17 
Campo Novo de Rondônia;0,593;14,49 ; 25667,21 ;0,23%;9225 ;102743030,69 
Candeias do Jamari;0,649;14,75 ; 23357,78 ;1,15%;24163 ;123456837,96 
Castanheiras;0,658;-; 34083,75 ;-;3456 ;43120359,32 
Cerejeiras;0,692;-; 46185,81 ;57,61%;16975 ;127701843,68 
Chupinguaia;0,652;11,9 ; 39880,28 ;0,87%;10129 ;111200148,26 
Colorado do Oeste;0,685;10,64 ; 27923,92 ;2,44%;16588 ;122961553,98 
Corumbiara;0,613;10,31 ; 56257,46 ;0,72%;8001 ;88231428,77 
Costa Marques;0,611;13,7 ; 16446,15 ;0,05%;13522 ;93344126,25 
Cujubim;0,612;9,62 ; 17967,64 ;0,16%;15883 ;148478686,3 
Espigão D'Oeste;0,672;8,35 ; 23429,38 ;6,43%;32717 ;172426859,52 
Governador Jorge Teixeira;0,596;10,53 ; 33566,66 ;0,04%;8420 ;70449150,93 
Guajará-Mirim;0,657;20,55 ; 22462,79 ;7,8%;43553 ;219389817,48 
Itapuã do Oeste;0,614;-; 19413,13 ;0,48%;9209 ;84092915,86 
Jaru;0,689;11,17 ; 34294,21 ;1,74%;55583 ;342211743,48 
Ji-Paraná;0,714;8,88 ; 32292,16 ;7,72%;139359 ;652187714,73 
Machadinho D'Oeste;0,596;17,75 ; 21338,33 ;2,89%;34063 ;203006868,81 
Ministro Andreazza;0,638;-; 31484,85 ;5,6%;6657 ;58153072,1 
Mirante da Serra;0,643;18,35 ; 24566,5 ;7,53%;9740 ;67204484,99 
Monte Negro;0,607;23,12 ; 24129,89 ;0,17%;12241 ;133550265,91 
Nova Brasilândia D'Oeste;0,643;26,32 ; 26762,31 ;6,8%;16504 ;122436901,61 
Nova Mamoré;0,587;19,44 ; 23076,28 ;0,81%;28496 ;80326385,62 
Nova União;0,587;13,89 ; 23060,8 ;0,99%;6577 ;54629509,88 
Novo Horizonte do Oeste;0,634;-; 28492,53 ;0,3%;8056 ;66437006,68 
Ouro Preto do Oeste;0,682;3,75 ; 27814,02 ;1,99%;38681 ;226815714,1 
Parecis;0,617;-; 24597,92 ;3,92%;4390 ;48484126,47 
Pimenta Bueno;0,71;9,76 ; 44275,07 ;9,02%;39053 ;245801137,93 
Pimenteiras do Oeste;0,665;-; 115753,94 ;5,79%;2311 ;55166390,05 
Porto Velho;0,736;13,55 ; 36541,49 ;21,95%;514873 ;2987688560,25 
Presidente Médici;0,664;16,19 ; 30827,94 ;5,25%;20518 ;117805457,14 
Primavera de Rondônia;0,641;48,78 ; 39684,71 ;0,36%;3279 ;40954961,29 
Rio Crespo;0,643;-; 47991,2 ;1,33%;3753 ;52596546,7 
Rolim de Moura;0,7;13,35 ; 28076,24 ;3,6%;62559 ;290363768,89 
Santa Luzia D'Oeste;0,67;13,89 ; 35940,09 ;2,6%;7877 ;76341366,96 
São Felipe D'Oeste;0,649;15,38 ; 26335,31 ;-;5605 ;53063181,99 
São Francisco do Guaporé;0,611;7,6 ; 23143,16 ;0,22%;17511 ;141882344,59 
São Miguel do Guaporé;0,646;11,63 ; 39112,42 ;1,87%;22267 ;159732447,17 
Seringueiras;0,598;15,08 ; 28109,66 ;13,06%;12954 ;101670118,83 
Teixeirópolis;0,643;20,83 ; 29158,81 ;0,26%;4536 ;41588656,96 
Theobroma;0,589;-; 24876,86 ;0,2%;8540 ;76438177,23 
Urupá;0,609;11,9 ; 24682 ;3,95%;11377 ;97057701,25 
Vale do Anari;0,584;-; 19106,79 ;0,06%;8265 ;71665588,41 
Vale do Paraíso;0,627;43,48 ; 28605,27 ;0,03%;6843 ;54161959,97 
Vilhena;0,731;11,44 ; 40328,81 ;4,48%;108528 ;679044049,19
